day,december_1pm,december_6pm,december_8pm,january_1pm,january_6pm,january_8pm,february_1pm,february_6pm,february_8pm,march_1pm,march_6pm,march_8pm
1,22264,56317,83555,44543,90554,90576,72883,41608,36716,89274,02030,82319
2,57286,60987,34036,26832,61919,24137,92283,59419,33893,65228,74673,77685
3,47649,06601,88721,68925,05173,90901,27712,04112,50409,64705,59683,20401
4,44870,25919,87824,84084,70766,96910,30998,96267,30437,51758,59615,99089
5,61253,66650,42912,58601,55554,90004,88116,19434,69388,37230,91867,64269
6,35455,27854,49687,11940,34947,09194,54267,61418,80943,22596,43019,48391
7,90482,49966,30072,36897,41574,21657,93934,89244,95664,68350,47424,02050
8,44512,08567,67882,61775,34331,33759,58297,51149,79367,56339,85066,45825
9,03362,73201,07798,20132,45829,28578,88687,97793,03983,13251,88178,72444
10,76277,07146,00933,51219,64853,77275,11359,46602,61845,58136,02826,79107
11,26005,29113,13933,67819,14003,85603,03764,32469,56414,80784,67514,17211
12,07561,77507,09504,37231,32585,84756,82944,02762,51547,54397,44324,08541
13,29929,22496,97952,20894,42727,69864,20840,03619,09041,32300,93365,49271
14,01001,29435,57470,02109,64088,17453,93064,26541,53290,52070,12750,36090
15,01032,13076,61608,18206,77322,65787,39761,74821,89069,80987,34524,34627
16,32315,93403,16529,43544,13641,40491,29772,18540,64198,90193,59256,29521
17,55099,04343,32486,94761,44788,36276,49202,09294,36201,53619,80570,88385
18,92848,47957,35089,74025,60001,73113,41996,32651,31835,36961,37076,22971
19,72802,22935,89599,75289,58927,07866,66195,20052,57844,17744,88483,27221
20,26187,77439,12997,42799,79445,03004,73114,08414,47664,82091,48521,73127
21,97621,46449,27355,40118,38080,99988,71985,64030,06579,44983,47149,35017
22,31797,24638,52542,64508,69459,32973,82229,96791,86258,60006,58108,37234
23,70136,08515,21997,99244,36277,99445,79556,95554,66651,60093,61264,29207
24,37786,46764,97631,68464,63717,18787,69157,35022,57184,39666,73004,57882
25,33338,09524,82465,58123,78231,02414,04103,43203,55749,38899,61108,47726
26,55704,39890,61336,,,71249,93639,87160,35590,18580,68165
27,25363,01505,23573,71543,28362,05530,57649,07404,81738,92093,78533,81330
28,69459,58498,64171,84446,20748,87324,59005,18140,08047,18572,55199,18357
29,60642,60207,43292,64962,83203,09919,,,,08629,38706,93227
30,11880,12606,71598,16793,33010,41663,,,,78243,53150,39399
31,22111,45426,30462,82655,06650,01047,,,,62589,43976,82325
