DATE,NUMBER,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6
2024-01-01,265900,2,6,5,9,0,0,even,even,odd,odd,zero,zero
2024-01-02,823141,8,2,3,1,4,1,even,even,odd,odd,even,odd
2024-01-03,358882,3,5,8,8,8,2,odd,odd,even,even,even,even
2024-01-04,107873,1,0,7,8,7,3,odd,zero,odd,even,odd,odd
2024-01-05,177277,1,7,7,2,7,7,odd,odd,odd,even,odd,odd
2024-01-06,373074,3,7,3,0,7,4,odd,odd,odd,zero,odd,even
2024-01-07,933564,9,3,3,5,6,4,odd,odd,odd,odd,even,even
2024-01-08,329226,3,2,9,2,2,6,odd,even,odd,even,even,even
2024-01-09,761080,7,6,1,0,8,0,odd,even,odd,zero,even,zero
2024-01-10,197551,1,9,7,5,5,1,odd,odd,odd,odd,odd,odd
2024-01-11,174603,1,7,4,6,0,3,odd,odd,even,even,zero,odd
2024-01-12,175777,1,7,5,7,7,7,odd,odd,odd,odd,odd,odd
2024-01-13,322071,3,2,2,0,7,1,odd,even,even,zero,odd,odd
2024-01-14,668146,6,6,8,1,4,6,even,even,even,odd,even,even
2024-01-15,386468,3,8,6,4,6,8,odd,even,even,even,even,even
2024-01-16,857442,8,5,7,4,4,2,even,odd,odd,even,even,even
2024-01-17,769255,7,6,9,2,5,5,odd,even,odd,even,odd,odd
2024-01-18,544098,5,4,4,0,9,8,odd,even,even,zero,odd,even
2024-01-19,402226,4,0,2,2,2,6,even,zero,even,even,even,even
2024-01-20,707363,7,0,7,3,6,3,odd,zero,odd,odd,even,odd
2024-01-21,463774,4,6,3,7,7,4,even,even,odd,odd,odd,even
2024-01-22,689912,6,8,9,9,1,2,even,even,odd,odd,odd,even
2024-01-23,637137,6,3,7,1,3,7,even,odd,odd,odd,odd,odd
2024-01-24,224091,2,2,4,0,9,1,even,even,even,zero,odd,odd
2024-01-25,633945,6,3,3,9,4,5,even,odd,odd,odd,even,odd
2024-01-26,0,0,0,0,0,0,0,zero,zero,zero,zero,zero,zero
2024-01-27,208488,2,0,8,4,8,8,even,zero,even,even,even,even
2024-01-28,220001,2,2,0,0,0,1,even,even,zero,zero,zero,odd
2024-01-29,905477,9,0,5,4,7,7,odd,zero,odd,even,odd,odd
2024-01-30,393750,3,9,3,7,5,0,odd,odd,odd,odd,odd,zero
2024-01-31,619922,6,1,9,9,2,2,even,odd,odd,odd,even,even
2024-02-01,177570,1,7,7,5,7,0,odd,odd,odd,odd,odd,zero
2024-02-02,737744,7,3,7,7,4,4,odd,odd,odd,odd,even,even
2024-02-03,525224,5,2,5,2,2,4,odd,even,odd,even,even,even
2024-02-04,350822,3,5,0,8,2,2,odd,odd,zero,even,even,even
2024-02-05,586971,5,8,6,9,7,1,odd,even,even,odd,odd,odd
2024-02-06,206642,2,0,6,6,4,2,even,zero,even,even,even,even
2024-02-07,194901,1,9,4,9,0,1,odd,odd,even,odd,zero,odd
2024-02-08,313959,3,1,3,9,5,9,odd,odd,odd,odd,odd,odd
2024-02-09,451246,4,5,1,2,4,6,even,odd,odd,even,even,even
2024-02-10,690364,6,9,0,3,6,4,even,odd,zero,odd,even,even
2024-02-11,297608,2,9,7,6,0,8,even,odd,odd,even,zero,even
2024-02-12,272099,2,7,2,0,9,9,even,odd,even,zero,odd,odd
2024-02-13,588585,5,8,8,5,8,5,odd,even,even,odd,even,odd
2024-02-14,243485,2,4,3,4,8,5,even,even,odd,even,even,odd
2024-02-15,299857,2,9,9,8,5,7,even,odd,odd,even,odd,odd
2024-02-16,504089,5,0,4,0,8,9,odd,zero,even,zero,even,odd
